"id","netPrice","stock","certificate","shape","weight","color","clarity","cut","polish","symmetry","fluroscence","lab","location","imageLink","videoLink","created_at","updated_at"
99,5581,"BF1-8C",5256432520,"RD",1.08,"F","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=ZDS36FQ5NN","",NULL,NULL
100,4423,"BD1-1H",1248918411,"RD",1.08,"F","SI2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=8LMWGONGOO","",NULL,NULL
101,5749,"BF2-1A",1258312225,"RD",1.25,"F","SI2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=444AHJNY66","",NULL,NULL
102,2684,"BD1-1M",6242853126,"RD",1,"F","I1","GD","EX","VG","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=N7E8UJ0QZZ","",NULL,NULL
103,4000,"BF2-1AA",1258613480,"RD",1.01,"F","I1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=7DTZCMW744","",NULL,NULL
104,2917,"AW-21",1243646635,"RD",1.02,"F","I1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=P59NLC8I44","",NULL,NULL
105,2946,"BC2-1G",2244800150,"RD",1.03,"F","I1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=LUXI4V29OO","",NULL,NULL
106,3032,"BF2-15A",7252329944,"RD",1.03,"F","I1","EX","VG","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=2XKJE89E22","",NULL,NULL
107,4757,"BH-10A",6251432895,"RD",1,"G","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=INSNIO855","",NULL,NULL
108,4876,"BF1-1D",6251224626,"RD",1.01,"G","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=5M9JHFG4JJ","",NULL,NULL
109,6271,"BF2-9",2257447406,"RD",1.21,"G","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=R6HQJ23LYY","",NULL,NULL
110,7029,"BH-10",6255432338,"RD",1.32,"G","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=Z2WC6WTGNN","",NULL,NULL
111,8009,"BE2-6",6255169690,"RD",1.41,"G","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=ODGX5AVQ66","",NULL,NULL
112,5111,"BH-12",3255517652,"RD",1.22,"G","SI2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=I7HFQYPXCC","",NULL,NULL
113,2688,"BC2-13D",6242854219,"RD",1,"G","I1","EX","VG","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=6464FVEZZ","",NULL,NULL
114,2520,"BC2-11C",1245716924,"RD",1,"G","I1","VG","EX","VG","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=BFCRL05TPP","",NULL,NULL
115,2394,"BD2-3E",2244810351,"RD",1,"G","I1","VG","EX","EX","STG","GIA","HK","http://segoma.com/v.php?type=view&id=FL8G632555","",NULL,NULL
116,2800,"BC2-13C",2247747547,"RD",1.01,"G","I1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=7NGMCDQE44","",NULL,NULL
117,2566,"AW-48",1245649238,"RD",1.02,"G","I1","VG","VG","VG","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=8W4XOMPF55","",NULL,NULL
118,3641,"BF2-9A",2254388271,"RD",1.02,"G","I1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=07KD7YHLFF","",NULL,NULL
119,2869,"BF1-3A",5253249341,"RD",1.02,"G","I1","EX","EX","EX","FAINT","GIA","HK","http://segoma.com/v.php?type=view&id=GRSOPZXK11","",NULL,NULL
120,2869,"BF1-2B",6252299445,"RD",1.02,"G","I1","EX","EX","EX","FAINT","GIA","HK","http://segoma.com/v.php?type=view&id=NFS0K1SQVV","",NULL,NULL
121,2769,"AW-47",2244651037,"RD",1.03,"G","I1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=O6PUE9QWEE","",NULL,NULL
